source_file,cleaned_output_file,roi_output_file,width,height,processing_step,input_from_step_02,canny_mode,threshold_1,threshold_2,aperture_size,use_l2_gradient,auto_sigma,preprocessing_enabled,preprocessing_gaussian_kernel_size,preprocessing_gaussian_sigma_x,postprocessing_enabled,dilate_iterations,dilate_kernel_size,close_kernel_size,open_kernel_size,erode_iterations,erode_kernel_size,read_time_ms,processing_time_ms,write_time_ms,total_time_ms
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0502.png,data\processed\03_edges\cleaned\IMG_0502.png,data\processed\03_edges\roi_edges\IMG_0502.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",149.007,43.423,213.49,1352.59
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0503.png,data\processed\03_edges\cleaned\IMG_0503.png,data\processed\03_edges\roi_edges\IMG_0503.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",135.298,35.055,199.606,786.147
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0504.png,data\processed\03_edges\cleaned\IMG_0504.png,data\processed\03_edges\roi_edges\IMG_0504.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",150.242,34.371,227.117,657.361
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0505.png,data\processed\03_edges\cleaned\IMG_0505.png,data\processed\03_edges\roi_edges\IMG_0505.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",149.335,32.751,229.12,680.176
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0506.png,data\processed\03_edges\cleaned\IMG_0506.png,data\processed\03_edges\roi_edges\IMG_0506.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",159.883,32.292,227.126,604.888
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0507.png,data\processed\03_edges\cleaned\IMG_0507.png,data\processed\03_edges\roi_edges\IMG_0507.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",163.945,34.324,258.712,610.113
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0508.png,data\processed\03_edges\cleaned\IMG_0508.png,data\processed\03_edges\roi_edges\IMG_0508.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",171.649,34.8,228.301,664.123
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0509.png,data\processed\03_edges\cleaned\IMG_0509.png,data\processed\03_edges\roi_edges\IMG_0509.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",157.039,33.735,254.818,835.138
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0510.png,data\processed\03_edges\cleaned\IMG_0510.png,data\processed\03_edges\roi_edges\IMG_0510.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",158.128,30.428,235.424,823.814
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0511.png,data\processed\03_edges\cleaned\IMG_0511.png,data\processed\03_edges\roi_edges\IMG_0511.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",149.627,32.818,232.84,731.873
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0512.png,data\processed\03_edges\cleaned\IMG_0512.png,data\processed\03_edges\roi_edges\IMG_0512.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]",155.807,31.233,243.754,766.518
