source_file,mask_output_file,overlay_output_file,selected_component_output_file,comparison_output_file,width,height,processing_step,input_from_step_03,edge_threshold,min_component_area,density_kernel_size,density_threshold_percentile,density_min_threshold,close_kernel_size,dilate_kernel_size,second_close_kernel_size,smooth_kernel_size,iterations_close,iterations_dilate,iterations_second_close,hull_enabled,hull_mode,debug_enabled,density_threshold,roi_pixels,read_time_ms,processing_time_ms,write_time_ms,total_time_ms
data\processed\03_edges\roi_edges\IMG_0502.png,data\processed\04_boot_roi_from_edges\mask\IMG_0502.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0502.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0502.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0502.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1952964,31.533,2564.652,1325.829,3922.026
data\processed\03_edges\roi_edges\IMG_0503.png,data\processed\04_boot_roi_from_edges\mask\IMG_0503.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0503.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0503.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0503.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1907201,51.422,2916.361,968.502,3936.294
data\processed\03_edges\roi_edges\IMG_0504.png,data\processed\04_boot_roi_from_edges\mask\IMG_0504.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0504.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0504.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0504.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,2099319,34.346,2488.781,1065.174,3588.308
data\processed\03_edges\roi_edges\IMG_0505.png,data\processed\04_boot_roi_from_edges\mask\IMG_0505.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0505.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0505.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0505.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1709656,38.003,2121.989,1035.807,3195.805
data\processed\03_edges\roi_edges\IMG_0506.png,data\processed\04_boot_roi_from_edges\mask\IMG_0506.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0506.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0506.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0506.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1894457,42.651,2420.204,1051.558,3514.422
data\processed\03_edges\roi_edges\IMG_0507.png,data\processed\04_boot_roi_from_edges\mask\IMG_0507.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0507.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0507.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0507.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1874573,41.201,3304.179,1191.835,4537.222
data\processed\03_edges\roi_edges\IMG_0508.png,data\processed\04_boot_roi_from_edges\mask\IMG_0508.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0508.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0508.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0508.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,2402445,35.415,2048.551,736.338,2820.31
data\processed\03_edges\roi_edges\IMG_0509.png,data\processed\04_boot_roi_from_edges\mask\IMG_0509.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0509.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0509.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0509.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,1920323,30.829,2172.71,771.728,2975.273
data\processed\03_edges\roi_edges\IMG_0510.png,data\processed\04_boot_roi_from_edges\mask\IMG_0510.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0510.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0510.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0510.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,2013895,37.583,2154.325,933.339,3125.254
data\processed\03_edges\roi_edges\IMG_0511.png,data\processed\04_boot_roi_from_edges\mask\IMG_0511.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0511.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0511.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0511.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,2133634,41.379,2245.755,878.496,3165.637
data\processed\03_edges\roi_edges\IMG_0512.png,data\processed\04_boot_roi_from_edges\mask\IMG_0512.png,data\processed\04_boot_roi_from_edges\overlay\IMG_0512.png,data\processed\04_boot_roi_from_edges\selected_component\IMG_0512.png,data\processed\04_boot_roi_from_edges\comparison\IMG_0512.png,3024,4032,04_boot_roi_from_edges,roi_edges,1,12,61,82.0,3,65,41,95,17,1,1,1,True,convex,True,3,2372871,41.208,2648.119,1131.509,3820.845
