source_file,output_file,width,height,processing_step,method,clahe_clip_limit,clahe_tile_grid_size,read_time_ms,processing_time_ms,write_time_ms,total_time_ms
data\working_png\IMG_0502.png,data\processed\01_illumination_normalized\IMG_0502.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,217.292,186.81,476.045,880.184
data\working_png\IMG_0503.png,data\processed\01_illumination_normalized\IMG_0503.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,293.781,111.715,838.31,1243.884
data\working_png\IMG_0504.png,data\processed\01_illumination_normalized\IMG_0504.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,457.441,106.155,1075.021,1638.695
data\working_png\IMG_0505.png,data\processed\01_illumination_normalized\IMG_0505.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,471.414,137.025,891.354,1499.939
data\working_png\IMG_0506.png,data\processed\01_illumination_normalized\IMG_0506.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,372.591,97.076,702.453,1172.214
data\working_png\IMG_0507.png,data\processed\01_illumination_normalized\IMG_0507.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,283.061,65.082,529.679,877.874
data\working_png\IMG_0508.png,data\processed\01_illumination_normalized\IMG_0508.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,275.01,64.384,594.018,933.459
data\working_png\IMG_0509.png,data\processed\01_illumination_normalized\IMG_0509.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,294.765,75.829,574.302,944.943
data\working_png\IMG_0510.png,data\processed\01_illumination_normalized\IMG_0510.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,308.258,75.969,632.522,1016.794
data\working_png\IMG_0511.png,data\processed\01_illumination_normalized\IMG_0511.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,293.179,70.125,595.546,958.895
data\working_png\IMG_0512.png,data\processed\01_illumination_normalized\IMG_0512.png,3024,4032,01_illumination_normalization,LAB_CLAHE,2.0,16x16,273.771,71.683,571.594,917.097
