source_file,json_file,line_id,line_type,x1,y1,x2,y2,length,angle_deg,distance_to_vertical_deg,distance_to_horizontal_deg
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00001,vertical,1933,640,1933,197,443.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00002,vertical,3021,1131,3021,834,297.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00003,vertical,3019,1405,3019,1249,156.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00004,vertical,1371,1914,1374,2117,203.0222,89.1533,0.8467,89.1533
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00005,vertical,1936,2000,1936,1704,296.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00006,other,2467,2635,3023,2982,655.3968,31.9683,58.0317,31.9683
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00007,vertical,1934,802,1934,720,82.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00008,vertical,104,779,104,546,233.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00009,vertical,100,411,100,12,399.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00010,other,2679,2762,3021,2976,403.4352,32.0355,57.9645,32.0355
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00011,horizontal,2480,3131,2576,3131,96.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00012,vertical,1927,2261,1927,2145,116.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00013,vertical,1948,1158,1948,780,378.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00014,other,2549,2685,3021,2980,556.6049,32.0054,57.9946,32.0054
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00015,vertical,1937,1807,1937,1617,190.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00016,horizontal,2355,2350,2463,2350,108.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00017,horizontal,2782,3132,2975,3132,193.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00018,vertical,1377,2381,1377,2199,182.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00019,vertical,105,1039,105,938,101.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00020,vertical,108,1929,108,1637,292.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00021,vertical,1380,1531,1380,1398,133.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00022,vertical,1373,1859,1375,1947,88.0227,88.698,1.302,88.698
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00023,other,1517,2039,1578,2216,187.2165,70.9844,19.0156,70.9844
