source_file,edge_input_file,overlay_file,json_file,width,height,processing_step,input_mode,nonzero_before,nonzero_hough,dp,min_dist,param1,param2,min_radius,max_radius,circle_count,circle_id,x,y,radius
data\processed\01_illumination_normalized\IMG_0502.png,data\processed\03_edges\IMG_0502.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0502.png,data\processed\06_boot_landmarks\json\IMG_0502.json,3024,4032,06_detect_boot_landmarks,edges,105861,105861,1.1,45.0,100.0,75.0,12,75,4,circle_001,1370,1612,56
data\processed\01_illumination_normalized\IMG_0502.png,data\processed\03_edges\IMG_0502.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0502.png,data\processed\06_boot_landmarks\json\IMG_0502.json,3024,4032,06_detect_boot_landmarks,edges,105861,105861,1.1,45.0,100.0,75.0,12,75,4,circle_002,1350,1446,57
data\processed\01_illumination_normalized\IMG_0502.png,data\processed\03_edges\IMG_0502.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0502.png,data\processed\06_boot_landmarks\json\IMG_0502.json,3024,4032,06_detect_boot_landmarks,edges,105861,105861,1.1,45.0,100.0,75.0,12,75,4,circle_003,1354,1048,35
data\processed\01_illumination_normalized\IMG_0502.png,data\processed\03_edges\IMG_0502.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0502.png,data\processed\06_boot_landmarks\json\IMG_0502.json,3024,4032,06_detect_boot_landmarks,edges,105861,105861,1.1,45.0,100.0,75.0,12,75,4,circle_004,1145,859,33
data\processed\01_illumination_normalized\IMG_0503.png,data\processed\03_edges\IMG_0503.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0503.png,data\processed\06_boot_landmarks\json\IMG_0503.json,3024,4032,06_detect_boot_landmarks,edges,97181,97181,1.1,45.0,100.0,75.0,12,75,5,circle_001,1359,1710,58
data\processed\01_illumination_normalized\IMG_0503.png,data\processed\03_edges\IMG_0503.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0503.png,data\processed\06_boot_landmarks\json\IMG_0503.json,3024,4032,06_detect_boot_landmarks,edges,97181,97181,1.1,45.0,100.0,75.0,12,75,5,circle_002,1354,1552,56
data\processed\01_illumination_normalized\IMG_0503.png,data\processed\03_edges\IMG_0503.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0503.png,data\processed\06_boot_landmarks\json\IMG_0503.json,3024,4032,06_detect_boot_landmarks,edges,97181,97181,1.1,45.0,100.0,75.0,12,75,5,circle_003,1354,1165,38
data\processed\01_illumination_normalized\IMG_0503.png,data\processed\03_edges\IMG_0503.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0503.png,data\processed\06_boot_landmarks\json\IMG_0503.json,3024,4032,06_detect_boot_landmarks,edges,97181,97181,1.1,45.0,100.0,75.0,12,75,5,circle_004,1145,969,45
data\processed\01_illumination_normalized\IMG_0503.png,data\processed\03_edges\IMG_0503.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0503.png,data\processed\06_boot_landmarks\json\IMG_0503.json,3024,4032,06_detect_boot_landmarks,edges,97181,97181,1.1,45.0,100.0,75.0,12,75,5,circle_005,1552,969,45
data\processed\01_illumination_normalized\IMG_0504.png,data\processed\03_edges\IMG_0504.png,data\processed\06_boot_landmarks\circles_overlay\IMG_0504.png,data\processed\06_boot_landmarks\json\IMG_0504.json,3024,4032,06_detect_boot_landmarks,edges,105145,105145,1.1,45.0,100.0,75.0,12,75,3,circle_001,1589,1536,60
